configuration,1000 100x100,1000 100x100,1000 100x100,2000 141x141,2000 141x141,2000 141x141,4000 200x200,4000 200x200,4000 200x200,8000 282x282,8000 282x282,8000 282x282,16000 400x400,16000 400x400,16000 400x400,32000 565x565,32000 565x565,32000 565x565,64000 800x800,64000 800x800,64000 800x800,128000 1131x1131,128000 1131x1131,128000 1131x1131
Time (sec),INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT
krABMaga,"0,00012242","0,18687758","0,187","0,00025828","0,23594172","0,2362","0,00045921","0,30934079","0,3098","0,001062","0,534338","0,5354","0,001742","0,909858","0,9116","0,004262","1,833938","1,8382","0,00884","3,72116","3,73","0,017364","10,996136","11,0135"
Agent.jl,"6,5029","0,6751","7,178","6,4333","0,7767","7,21","6,453","1,031","7,484","6,3946","1,6794","8,074","6,389","3,468","9,857","6,4922","9,0108","15,503","6,4622","25,5888","32,051","6,8632","65,244","72,1072"
MASON,"0,004","0,3088","0,3128","0,006","0,4794","0,4854","0,007","0,872","0,879","0,008","3,2572","3,2652","0,011","10,5838","10,5948","0,013","25,5106","25,5236","0,016",52,"52,016","0,024","120,298","120,322"
Repast,0,"6,896","6,896",0,"6,892","6,892",0,"7,3","7,3",0,"7,894","7,894",0,"9,906","9,906",0,"15,91","15,91",/,"33,392","33,392",0,"115,028","115,028"
Netlogo,"3,781","0,405","4,186","3,804","0,681","4,485","3,957","1,308","5,265","4,027","3,077","7,104","4,59","7,639","12,229","5,771","19,082","24,853","9,502","47,234","56,736","18,984","122,459","141,443"
Mesa,"2,422","1,051","3,473","9,753","2,25","12,003","41,531","4,671","46,202","175,186","10,544","185,73","930,347","24,808","955,155","4817,977","56,316","4874,293","24734,969","124,36","24859,329","110536,995","267,749","110804,744"
