configuration,1000 100x100,1000 100x100,1000 100x100,2000 141x141,2000 141x141,2000 141x141,4000 200x200,4000 200x200,4000 200x200,8000 282x282,8000 282x282,8000 282x282,16000 400x400,16000 400x400,16000 400x400,32000 565x565,32000 565x565,32000 565x565,64000 800x800,64000 800x800,64000 800x800,128000 1131x1131,128000 1131x1131,128000 1131x1131
Time (sec),INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT
krABMaga,"0,00019954","0,42600046","0,4262","0,000363","0,645037","0,6454","0,00070397","1,14369603","1,1444","0,0013696","2,3588304","2,3602","0,002946","4,395854","4,3988","0,006642","9,938958","9,9456","0,01583","20,84697","20,8628","0,03372","48,94628","48,98"
Agent.jl,"3,2472","2,936","6,1832","3,1688","4,7612","7,93","3,199","8,32","11,519","3,241","16,907","20,148","3,588","39,518","43,106","3,583","130,84","134,423","4,212","379,161","383,373","5,072","1321,95","1327,022"
MASON,"0,0094","0,9738","0,9832","0,0152","1,8356","1,8508","0,0192","4,0206","4,0398","0,0252","8,4386","8,4638","0,0334","21,3584","21,3918","0,0502","58,5124","58,5626","0,10628","198,91772","199,024","0,2472","556,5696","556,8168"
Repast,"0,0","7,57","7,57","0,0","8,308","8,308","0,0","12,162","12,162","0,0","27,358","27,358","0,0","95,602","95,602","0,0","485,748","485,748","0,0","2328,74","2328,74","0,0","5160,77","5160,77"
Netlogo,"3,919","3,23","7,149","3,915","6,332","10,247","3,924","12,454","16,378","3,983","29,274","33,257","4,542","68,631","73,173","5,156","163,462","168,618","8,269","346,575","354,844","16,865","737,716","754,581"
Mesa,"0,1","39,801","39,901","0,116","89,054","89,17","0,178","221,819","221,997","0,246","584,929","585,175","0,461","2014,638","2015,099","1,8373","5601,1612","5602,9985","3,112","26136,271","26139,383","8,208","73061,24","73069,448"
