configuration,1000 100x100,1000 100x100,1000 100x100,2000 141x141,2000 141x141,2000 141x141,4000 200x200,4000 200x200,4000 200x200,8000 282x282,8000 282x282,8000 282x282,16000 400x400,16000 400x400,16000 400x400,32000 565x565,32000 565x565,32000 565x565,64000 800x800,64000 800x800,64000 800x800,128000 1131x1131,128000 1131x1131,128000 1131x1131
Time (sec),INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT,INIT,STEP,TOT
krABMaga,"0,00083","0,32657","0,3274","0,163","0,397","0,56","0,0031","1,1489","1,152","0,00796","2,88144","2,8894","0,01456","6,88764","6,9022","0,02964","16,73956","16,7692","0,05988","32,29712","32,357","0,123","67,971","68,094"
Agent.jl,"3,4969","3,3397","6,8366","3,7392","3,6","7,3392","3,5655","3,8857","7,4512","3,595","5,1154","8,7104","3,6168","8,4562","12,073","3,7999","17,2883","21,0882","4,1476","32,4244","36,572","4,6806","67,028","71,7086"
Repast,0,"8,97","8,97",0,"14,506","14,506",0,"34,736","34,736",0,"115,826","115,826",0,"435,458","435,458",0,"1640,262","1640,262",0,"6293,552","6293,552",0,"22531,74","22531,74"
Netlogo,"4,317","1,453","5,77","4,222","3,036","7,258","4,322","7,33","11,652","4,762","15,242","20,004","5,031","31,861","36,892","6,018","67,941","73,959","9,499","136,989","146,488","19,61","307,753","327,363"
Mesa,"0,186","3,77","3,956","0,246","8,244","8,49","0,401","18,996","19,397","0,758","42,442","43,2","1,553","96,494","98,047","3,057","211,077","214,134","6,571","468,052","474,623","13,372","993,249","1006,621"
